key,en,mn
aboutMongolia.culture_body,"Roughly a quarter of Mongolians still live as herders, moving with the seasons between pastures. Hospitality is sacred: a traveller is always welcomed into the ger with hot salted milk tea. This rhythm of movement, family and the land shapes everything — and it is what our journeys are built to share, at the pace of the people who live it.","Монголчуудын дөрөвний нэг орчим нь улирлын дагуу бэлчээрээс бэлчээр рүү нүүдэллэдэг малчин хэвээр байна. Зочломтгой байдал ариун: аялагчийг үргэлж халуун сүүтэй цайгаар гэрт угтдаг. Энэхүү нүүдэл, гэр бүл, газар нутгийн хэмнэл бүх зүйлийг тодорхойлдог — бидний аялал энэ хэмнэлийг мэдрүүлэхээр бүтээгдсэн."
aboutMongolia.culture_quote,The steppe teaches patience — the horizon is never in a hurry.,Тал нутаг тэвчээрийг заадаг — тэнгэрийн хаяа хэзээ ч яардаггүй.
aboutMongolia.naadam_heading,Naadam festival,Наадам
aboutMongolia.naadam_body,"Held every July, Naadam is Mongolia's great national celebration — the ""three manly games"" of wrestling, archery and horse racing, staged across the country and centred on Ulaanbaatar. It is the single best week to witness the culture at full colour, and our festival departures put you in the thick of it.","Жил бүрийн 7-р сард болдог Наадам бол Монголын агуу их үндэсний баяр бөгөөд эрийн гурван наадам буюу бөх барилдаан, сур харваа, морин уралдааныг улс даяар, ялангуяа Улаанбаатарт зохион байгуулдаг. Энэ бол соёлыг бүрэн дүүрэн харах хамгийн сайн долоо хоног бөгөөд бидний наадмын аялал таныг үүний голд оруулдаг."
aboutMongolia.ger_heading,Ger life,Гэрийн амьдрал
aboutMongolia.ger_body,"The ger — known outside Mongolia as a yurt — is a felt-and-canvas dwelling engineered for a life on the move: it can be raised or struck in under an hour, insulates against −30°C winters, and stays cool in summer. Everything inside has its place, from the stove at the centre to the honoured seat opposite the door reserved for guests. Staying in a family ger, rather than passing through as a spectator, is the heart of most of our itineraries.","Гэр — гадаадад юрт гэж мэддэг — нүүдлийн амьдралд зориулж зохион бүтээгдсэн эсгий, даавуун орон сууц: нэг цагийн дотор босгож, буулгаж болно, −30°C өвлийг тэсвэрлэдэг, зунд сэрүүн байдаг. Дотор бүх зүйл өөрийн байрандаа байдаг — төвд зуухнаас эхлээд хаалганы эсрэг талд буй зочны хүндэт суудал хүртэл. Зөвхөн харж өнгөрөхийн оронд гэр бүлийн гэрт хонох нь бидний ихэнх хөтөлбөрийн гол цөм юм."
aboutMongolia.wildlife_heading,Wildlife,Ан амьтан
aboutMongolia.wildlife_body,"Mongolia's empty landscapes are a refuge for species that have vanished elsewhere. The Gobi shelters snow leopards, wild Bactrian camels and the reintroduced Przewalski's horse — the last truly wild horse on earth. Golden eagles are trained by Kazakh hunters in the west, while reindeer herders of the northern taiga live alongside their domesticated herds. Lake Khuvsgul and the surrounding forests hold ibex, argali sheep and elusive wolves.","Монголын хоосон газар нутаг бусад газарт устсан зүйлүүдийн хоргодох газар юм. Говьд цасан барс, зэрлэг хос бөхт тэмээ, дахин нутагшуулсан тахь морь — дэлхийн сүүлчийн жинхэнэ зэрлэг морь амьдардаг. Баруун бүсэд казах бөргөчид алтан бүргэдийг сургадаг, харин хойд тайгын цаатан малчид гэршүүлсэн сүргүүдтэйгээ хамт амьдардаг. Хөвсгөл нуур болон түүнийг хүрээлэн буй ойд янгир, аргаль хонь, зэрлэг чоно амьдардаг."
aboutMongolia.cta_eyebrow,Ready to see it for yourself?,Өөрөө үзэхэд бэлэн үү?
aboutMongolia.cta_heading_prefix,Explore our Mongolia,Монголын аяллуудыг
aboutMongolia.cta_heading_italic,journeys.,судлаарай.
aboutMongolia.cta_button,Browse all tours →,Бүх аяллыг үзэх →
airportTransfers.meta_title,Airport Transfers — E & S Discovery Mongolia,Онгоцны буудлын үйлчилгээ — E & S Discovery Mongolia
airportTransfers.meta_description,A familiar face waiting at arrivals. We track your flight and wait if you're delayed.,"Буудал дээр танил царай таныг угтана. Бид таны нислэгийг хянаж, хоцорвол хүлээнэ."
airportTransfers.hero_eyebrow,Chinggis Khaan Int'l · door to door,Чингис хаан НОБ · хаалганаас хаалга хүртэл
airportTransfers.hero_heading_prefix,Airport,Онгоцны буудлын
airportTransfers.hero_heading_italic,Transfers,үйлчилгээ
airportTransfers.hero_subtext,A familiar face waiting at arrivals. We track your flight and wait if you're delayed — no stress after a long journey.,"Буудал дээр танил царай таныг угтана. Бид таны нислэгийг хянаж, хоцорвол хүлээнэ — урт аяллын дараа стресс байхгүй."
airportTransfers.steps[0].n,01,01
airportTransfers.steps[0].title,Book with your flight,Нислэгээ оруулж захиалаарай
airportTransfers.steps[0].text,Enter your flight number and we handle the rest — no need to know the address.,Нислэгийн дугаараа оруулаад үлдсэнийг нь бидэнд даатгаарай — хаяг мэдэх шаардлагагүй.
airportTransfers.steps[1].n,02,02
airportTransfers.steps[1].title,We track & wait,Бид хянаж хүлээнэ
airportTransfers.steps[1].text,"Delayed? Your driver adjusts automatically and waits at arrivals, free of charge.","Хоцорсон уу? Таны жолооч автоматаар тохируулж, буудал дээр үнэ төлбөргүй хүлээнэ."
airportTransfers.steps[2].n,03,03
airportTransfers.steps[2].title,Straight to your ger,Шууд таны буудал хүртэл
airportTransfers.steps[2].text,"Door-to-door to your hotel or the start of your tour, with a local who knows the way.",Замыг мэддэг орон нутгийн хүнтэй хамт зочид буудал эсвэл аяллынхаа эхлэл хүртэл хаалганаас хаалга хүргэнэ.
airportTransferForm.flight_number,Flight number,Нислэгийн дугаар
airportTransferForm.flight_number_placeholder,OM-302,OM-302
airportTransferForm.arrival_datetime,Arrival date & time,Буух огноо & цаг
airportTransferForm.passengers,Passengers,Зорчигчид
airportTransferForm.adult_suffix_singular,adult,хүн
airportTransferForm.adult_suffix_plural,adults,хүн
airportTransferForm.name,Name,Нэр
airportTransferForm.name_placeholder,Full name,Овог нэр
airportTransferForm.email,Email,И-мэйл
airportTransferForm.email_placeholder,you@email.com,you@email.com
airportTransferForm.choose_service_eyebrow,Choose your service,Үйлчилгээгээ сонгоно уу
airportTransferForm.choose_service_heading,Three ways to arrive,Ирэх гурван арга зам
airportTransferForm.tiers[0].name,Standard Transfer,Энгийн үйлчилгээ
airportTransferForm.tiers[0].desc,Private sedan · up to 3 passengers,Хувийн седан · 3 хүртэл зорчигч
airportTransferForm.tiers[0].features[0],Flight tracking,Нислэг хяналт
airportTransferForm.tiers[0].features[1],Driver waits at arrivals,Жолооч буудал дээр хүлээнэ
airportTransferForm.tiers[1].name,Meet & Greet,Угтах & Дагалдах
airportTransferForm.tiers[1].desc,Guide with name-board · up to 6 pax,Нэртэй хавтастай хөтөч · 6 хүртэл хүн
airportTransferForm.tiers[1].features[0],Personal greeter inside,Дотор угтагч
airportTransferForm.tiers[1].features[1],SIM card & welcome pack,SIM карт & угтах бэлэг
airportTransferForm.tiers[1].features[2],Bottled water & wifi,Ус & wifi
airportTransferForm.tiers[2].name,VIP & Lounge,VIP & Танхим
airportTransferForm.tiers[2].desc,Private lounge · Land Cruiser · 4 pax,Хувийн танхим · Land Cruiser · 4 хүн
airportTransferForm.tiers[2].features[0],Fast-track & lounge access,Хурдавчилсан бүртгэл & танхим
airportTransferForm.tiers[2].features[1],Luxury Land Cruiser,Тансаг Land Cruiser
airportTransferForm.most_popular,Most popular,Хамгийн түгээмэл
airportTransferForm.per_vehicle,per vehicle,тээврийн хэрэгслэгт
airportTransferForm.book_transfer,Book transfer →,Захиалах →
airportTransferForm.success_heading,Transfer requested,Хүсэлт илгээгдлээ
airportTransferForm.confirmation_label,Confirmation:,Баталгаажуулах дугаар:
airportTransferForm.success_message,We'll confirm your driver details by email before your flight lands.,Нислэг буухаас өмнө жолоочийн дэлгэрэнгүй мэдээллийг и-мэйлээр баталгаажуулна.
rentACar.meta_title,Rent a 4×4 — Car Rental — E & S Discovery Mongolia,4×4 түрээслэх — Машин түрээс — E & S Discovery Mongolia
rentACar.meta_description,"Well-maintained expedition vehicles — drive yourself, or add an experienced local driver-guide.","Сайн арчлагдсан экспедицийн машинууд — өөрөө жолоод, эсвэл туршлагатай орон нутгийн жолооч-хөтөч нэмээрэй."
rentACar.hero_eyebrow,Built for the roadless steppe,Замгүй тал нутагт зориулагдсан
rentACar.hero_heading_prefix,Rent a,Түрээсэл
rentACar.hero_heading_italic,4×4,4×4
rentACar.hero_subtext,"Well-maintained expedition vehicles — drive yourself, or add an experienced local driver-guide.","Сайн арчлагдсан экспедицийн машинууд — өөрөө жолоод, эсвэл туршлагатай орон нутгийн жолооч-хөтөч нэмээрэй."
rentACar.with_driver,With driver,Жолоочтой
rentACar.self_drive,Self-drive,Өөрөө жолоодох
rentACar.all_vehicles,All vehicles,Бүх машин
rentACar.type_chips[0],SUV,SUV
rentACar.type_chips[1],Van,Ван
rentACar.type_chips[2],Furgon,Фургон
rentACar.type_chips[3],Sedan,Седан
rentACar.need_fleet_heading,Need a fleet?,Олон машин хэрэгтэй юу?
rentACar.need_fleet_text,"Multiple vehicles for a group expedition, with drivers and support crew.","Бүлгийн экспедицэд зориулсан олон тээврийн хэрэгсэл, жолооч болон дэмжлэгийн багтай."
rentACar.ask_us,Ask us →,Асуух →
rentACar.insurance_note,Insurance & unlimited km included,Даатгал & хязгааргүй км багтсан
rentACar.roadside_note,24/7 roadside support,24/7 замын дэмжлэг
rentACar.camping_note,Rooftop tent & camping gear add-ons,Дээвэр майхан & кемпингийн хэрэгсэл нэмэлт
carCard.per_day,/day,/өдөр
carCard.reserve,Reserve,Захиалах
carSearchRail.pickup_date,Pick-up date,Авах огноо
carSearchRail.return_date,Return date,Буцаах огноо
reservationDialog.success_heading,Reservation received,Захиалга хүлээн авлаа
reservationDialog.confirmation_label,Confirmation:,Баталгаажуулах дугаар:
reservationDialog.success_message_prefix,We'll confirm your,Таны
reservationDialog.success_message_suffix,rental by email shortly.,түрээсийг удахгүй и-мэйлээр баталгаажуулна.
reservationDialog.reserve_eyebrow,Reserve,Захиалах
reservationDialog.confirm_reservation,Confirm reservation →,Захиалгыг баталгаажуулах →
reservationDialog.name_placeholder,Full name,Овог нэр
reservationDialog.email_placeholder,Email,И-мэйл
reservationDialog.phone_placeholder,Phone (optional),Утас (заавал биш)
contact.meta_title,Contact Us — E & S Discovery Mongolia,Холбоо барих — E & S Discovery Mongolia
contact.meta_description,Tell us what you're dreaming of and a real person on our Ulaanbaatar team will reply within a day.,"Юу мөрөөддөгөө хэлээрэй, манай Улаанбаатар дахь баг нэг өдрийн дотор хариулна."
contact.eyebrow,We'd love to hear from you,Танаас сонсоход таатай байх болно
contact.heading_prefix,Contact,Холбоо
contact.heading_italic,us,барих
contact.subtext,"Tell us what you're dreaming of — a festival, a Gobi crossing, a family trip — and a real person on our Ulaanbaatar team will reply within a day.","Наадам, Говийн аялал, гэр бүлийн аялал зэрэг юу мөрөөддөгөө хэлээрэй — манай Улаанбаатар дахь баг нэг өдрийн дотор хариулна."
contact.offices[0].title,Call,Залгах
contact.offices[1].title,Email,И-мэйл
contact.offices[2].title,Visit,Зочлох
contact.map_title,E and S Discovery Mongolia office location,E and S Discovery Mongolia оффисын байршил
contactForm.name_placeholder,Name,Нэр
contactForm.email_placeholder,Email,И-мэйл
contactForm.phone_placeholder,Phone (optional),Утас (заавал биш)
contactForm.subjects[0],Tour inquiry,Аяллын лавлагаа
contactForm.subjects[1],Car rental,Машин түрээс
contactForm.subjects[2],Airport transfer,Онгоцны буудлын үйлчилгээ
contactForm.subjects[3],General question,Ерөнхий асуулт
contactForm.message_placeholder,"Tell us about your trip — dates, group size, what you'd love to see…","Аяллынхаа тухай — огноо, бүлгийн хэмжээ, юу үзэхийг хүсэж байгаагаа бичнэ үү…"
contactForm.send_message,Send message →,Илгээх →
contactForm.success_heading,Message sent,Мессеж илгээгдлээ
contactForm.reference_label,Reference:,Лавлах дугаар:
contactForm.success_message,A member of our Ulaanbaatar team will reply within a day.,Манай Улаанбаатар дахь баг нэг өдрийн дотор хариулна.
tourGallery.open_preview,Open photo preview,Зургийг томоор харах
tourGallery.previous_photo,Previous photo,Өмнөх зураг
tourGallery.next_photo,Next photo,Дараах зураг
tourGallery.view_photo,View photo,Зураг харах
tourGallery.close_preview,Close preview,Хаах
sectionNav.on_this_page,On this page,Энэ хуудсанд
